Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-22,nan,nan,nan,1364.0,18935115.0,nan,,,,
2026-06-23,nan,nan,nan,1347.07,15257937.0,nan,,,,
2026-06-24,nan,nan,nan,1382.43,45680716.0,nan,,,,
2026-06-25,nan,nan,nan,1365.38,24054846.0,nan,,,,
2026-06-29,nan,nan,nan,1362.18,27071266.0,nan,,,,
2026-06-30,nan,nan,nan,1388.32,40375325.0,nan,,,,
2026-07-01,nan,nan,nan,1420.11,48452183.0,nan,,,,
2026-07-02,nan,nan,nan,1443.44,68870283.0,nan,,,,
2026-07-03,nan,nan,nan,1442.43,48289295.0,nan,,,,
2026-07-06,nan,nan,nan,1441.73,33526567.0,nan,,,,
2026-07-07,nan,nan,nan,1445.3,37593184.0,nan,,,,
2026-07-08,nan,nan,nan,1405.56,26206892.0,nan,,,,
2026-07-09,nan,nan,nan,1438.15,37391947.0,nan,,,,
2026-07-10,nan,nan,nan,1483.99,81251482.0,nan,,,,
