Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-17,189.0,189.0,170.1,170.1,22468435,EQ,116816,192.34,14275242
2026-09-18,159.63,163.7,153.09,155.78,11654009,EQ,69636,167.36,3770884
