Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-16,nan,nan,nan,12875.91,162537751.0,21.18,,,,
2026-06-18,nan,nan,nan,13047.53,208337282.0,21.46,,,,
2026-06-19,nan,nan,nan,13152.19,130577990.0,21.63,,,,
2026-06-22,nan,nan,nan,13302.32,140734058.0,21.88,,,,
2026-06-23,nan,nan,nan,13171.32,126156181.0,21.66,,,,
2026-06-24,nan,nan,nan,13092.22,90226129.0,21.53,,,,
2026-06-25,nan,nan,nan,13041.34,77192762.0,21.45,,,,
2026-06-29,nan,nan,nan,12881.39,95434531.0,21.18,,,,
2026-06-30,nan,nan,nan,12875.09,85470809.0,20.83,,,,
2026-07-01,nan,nan,nan,12912.7,165592393.0,20.89,,,,
2026-07-02,nan,nan,nan,12915.69,64808968.0,20.9,,,,
2026-07-03,nan,nan,nan,12852.17,57406263.0,20.79,,,,
2026-07-06,nan,nan,nan,12852.2,81124568.0,20.79,,,,
2026-07-07,nan,nan,nan,12719.93,162805586.0,20.58,,,,
2026-07-08,nan,nan,nan,12391.0,90724589.0,20.05,,,,
2026-07-09,nan,nan,nan,12518.69,83250837.0,20.25,,,,
2026-07-10,nan,nan,nan,12689.07,72746730.0,20.53,,,,
